strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/LA-BIE-LSUH003611/2022	2022-11-24		3.11	North America	Louisiana	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202247	30.00	OP961513	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Parke et al			0.775	0.831	
USA/WA-CDC-UW22112845493/2022	2022-11-28		3.12	North America	Washington	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202248	30.00	OP962583	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		UW Virology Lab	0.775	0.831	
USA/OSPHL08086/2023	2023-01-27		3.11	North America	Oregon	Older	USA	22E (Omicron)	BQ.1.1.23	BQ.1.1	BQ.1.1.23	0.00	202304	31.00	OQ362986	Homo sapiens	Oregon State Public Health Laboratory, Virology and Immunology	Tsaknaridis et al			0.775	0.831	-5.84
USA/VA-CDC-QDX46500075/2023	2023-02-05		3.12	North America	Virginia	One month ago	USA	22E (Omicron)	BQ.1.1.23	BQ.1.1	BQ.1.1.23	0.00	202306	30.00	OQ467683	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	-5.84
USA/GU-CDC-2-6687480/2022	2022-11-18		3.12	North America	Guam	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202246	30.00	OQ318705	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		Guam Public Health Laboratory	0.775	0.831	
USA/MA-CDCBI-CRSP_DDYUO3HVNJCXKKVE/2022	2022-11-26		3.12	North America	Massachusetts	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202247	30.00	OP987147	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.775	0.831	
USA/NY-CUIMC-NP-12828/2022	2022-10-04		3.12	North America	New York	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202240	30.00	OQ270290	Homo sapiens	Columbia University, Infectious Diseases	Annavajhala et al		Clinical Microbiology Laboratory, NewYork Presbyterian Hospital/Columbia University Irving Medical Center	0.775	0.831	
USA/IN-CDC-STM-RG53HFBAF/2022	2022-12-02		3.12	North America	Indiana	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202248	30.00	OQ114451	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/AL-CDC-STM-UHSQ8XR6V/2023	2023-01-02		3.11	North America	Alabama	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202301	30.00	OQ253872	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/22019101/2022	2022-12-10		3.09	North America	Connecticut	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202249	29.00	OQ190844	Homo sapiens	Genesys Diagnostics, Molecular	Best et al			0.68	0.831	
USA/FL-BPHL-16085/2022	2022-12-20		3.11	North America	Florida	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202251	30.00	OQ191214	Homo sapiens	FLDOH, BPHL	Schmedes et al		Florida Bureau of Public Health Laboratories	0.775	0.831	
USA/MD-CDC-QDX43329902/2022	2022-11-04		3.10	North America	Maryland	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202244	30.00	OP864544	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/GA-CDC-STM-NWDHCYSAJ/2022	2022-11-13		3.18	North America	Georgia	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202246	30.00	OP911429	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/NC-CDC-LC0928990/2022	2022-11-07		3.18	North America	North Carolina	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202245	30.00	OP855306	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/VA-CDC-QDX44875637/2022	2022-12-19		3.17	North America	Virginia	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202251	30.00	OQ204870	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/CT-CDC-LC0930417/2022	2022-11-06		3.20	North America	Connecticut	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41		202245	31.00	OP861333	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/M1012A7_538096/2022	2022-11-07		3.16	North America	Mississippi	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41		202245	31.00	OP955813	Homo sapiens	University of Mississippi Medical Center, Molecular and Genomics Core	Sen et al			0.571	0.779	
USA/MN-MDH-33156/2022	2022-12-30		3.16	North America	Minnesota	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41		202252	31.00	OQ248461	Homo sapiens	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		ALDATU DIAGNOSTICS	0.664	0.631	
USA/JW8974/2023	2023-01-10		3.17	North America	North Carolina	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41	0.00	202302	31.00	OQ351805	Homo sapiens	University of North Carolina at Chapel Hill, Genetics	Wang et al			0.775	0.831	-5.84
USA/UT-CDC-LC0993354/2023	2023-01-06		3.16	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41	0.00	202301	32.00	OQ344795	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/GA-CDC-STM-QM6UYPG72/2023	2023-01-12		3.16	North America	Georgia	Older	USA	22E (Omicron)	BQ.1.1.41	BQ.1.1	BQ.1.1.41	0.00	202302	31.00	OQ301469	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	-5.84
USA/AL-CDC-LC1009390/2023	2023-02-07		3.13	North America	Alabama	One month ago	USA	22E (Omicron)	BQ.1.1.1	BQ.1.1	BQ.1.1.1	0.00	202306	31.00	OQ457834	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	-5.84
USA/AK-UW-22112600235/2022	2022-11-26		3.11	North America	Alaska	Older	USA	22E (Omicron)	BQ.1.1.1	BQ.1.1	BQ.1.1.1		202247	30.00	OP999300	Homo sapiens	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al			0.775	0.831	
USA/IN-CDC-STM-UGQKQC7ET/2023	2023-01-04		3.13	North America	Indiana	Older	USA	22E (Omicron)	BQ.1.1.1	BQ.1.1	BQ.1.22	0.00	202301	30.00	OQ284580	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/AK-CDC-LC0983337/2023	2023-01-03		3.12	North America	Alaska	Older	USA	22E (Omicron)	BQ.1.1.1	BQ.1.1	BQ.1.1.1	0.00	202301	31.00	OQ258453	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	1.504	0.845	
USA/GA-CDC-QDX42813118/2022	2022-10-19		3.12	North America	Georgia	Older	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3		202242	30.00	OP789437	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/M1029B4_538357/2022	2022-12-07		3.12	North America	Mississippi	Older	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3		202249	30.00	OQ240376	Homo sapiens	University of Mississippi Medical Center, Molecular and Genomics Core	Sen et al			0.775	0.831	
USA/DE-CDC-LC0952311/2022	2022-12-02		3.12	North America	Delaware	Older	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3		202248	30.00	OQ072166	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/TMCL-030ANasalSwab/2022	2022-11-17		3.12	North America	Hawaii	One week ago	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3		202246	30.00	OQ518017	Homo sapiens	University of Hawaii at Manoa, Tropical Medicine, Medical Microbiology and Pharmacology	Tseng et al			0.775	0.831	
USA/IL-CDC-LC1014490/2023	2023-02-16		3.12	North America	Illinois	3-7 days ago	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.22	0.00	202307	30.00	OQ583033	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	-5.84
USA/FL-CDC-QDX45343284/2023	2023-01-03		3.12	North America	Florida	Older	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3	0.00	202301	31.00	OQ327361	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/DC-CDC-LC0955962/2022	2022-12-08		3.12	North America	Washington DC	Older	USA	22E (Omicron)	BQ.1.1.3	BQ.1.1	BQ.1.1.3		202249	30.00	OQ081488	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/WV-CDC-LC0998178/2023	2023-01-19		3.12	North America	West Virginia	Older	USA	22E (Omicron)	DR.1	BQ.1.1	DR.1	0.00	202303	32.00	OQ364228	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	-5.84
USA/MD-CDC-QDX45276890/2023	2023-01-03		3.17	North America	Maryland	Older	USA	22E (Omicron)	DR.1	BQ.1.1	DR.1	0.00	202301	32.00	OQ274796	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/MD-MDH-8066/2022	2022-12-06		3.12	North America	Maryland	Older	USA	22E (Omicron)	DR.1	BQ.1.1	DR.1		202249	32.00	OQ374877	Homo sapiens	Maryland Department of Health, CSL	Keller et al			0.775	0.831	
USA/CA-CDC-STM-9V6CFU2KB/2022	2022-11-15		3.15	North America	California	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202246	30.00	OP911968	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/CO-CDC-2-6731082/2022	2022-12-04		3.22	North America	Colorado	Older	USA	22E (Omicron)	BQ.1.1.46	BQ.1.1	BQ.1.1		202249	32.00	OQ256018	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		"CO Dept. of Public Health and Environment, Lab Services Division"	0.775	0.831	
USA/UT-CDC-QDX42512652/2022	2022-10-11		3.14	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.29	BQ.1.1	BQ.1.1.29		202241	31.00	OP735702	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/MT-CDC-STM-7CF5V2WKM/2022	2022-12-24		3.14	North America	Montana	Older	USA	22E (Omicron)	BQ.1.1.29	BQ.1.1	BQ.1.1.29		202251	32.00	OQ219998	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/NC-CDC-QDX43473924/2022	2022-11-09		3.12	North America	North Carolina	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202245	31.00	OP889988	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/DE-CDC-LC0969508/2022	2022-12-23		3.13	North America	Delaware	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202251	30.00	OQ167435	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/IL-CDC-QDX43292524/2022	2022-11-01		3.13	North America	Illinois	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202244	30.00	OP864410	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/ME-HETL-J17580/2022	2022-11-28		3.11	North America	Maine	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202248	30.00	OQ138406	Homo sapiens	The Jackson Laboratory, Tewhey Lab	Dewey et al			0.775	0.831	
USA/NV-CDC-LC0953769/2022	2022-12-05		3.12	North America	Nevada	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202249	30.00	OQ072680	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/1016114367_12-1-22/2022	2022-11-09		3.12	North America	Arkansas	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202245	29.00	OP958841	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.775	0.831	
USA/ID-USAFSAM-S20741/2022	2022-12-06		3.11	North America	Idaho	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202249	30.00	OQ137592	Homo sapiens	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Fries et al		MOUNTAIN HOME AFB	0.775	0.831	
USA/IL-CDC-QDX44815494/2022	2022-12-19		3.10	North America	Illinois	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202251	30.00	OQ197036	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/OKPHL0024822/2022	2022-12-26		2.95	North America	Oklahoma	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202252	29.00	OQ297448	Homo sapiens	Oklahoma Department of Health, Public Health Lab- Molecular	Wang et al			1.17	0.415	
USA/OH-CDC-QDX45182575/2023	2023-01-02		3.11	North America	Ohio	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202301	30.00	OQ298105	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/USA_UT-IDEL-2022122761_2022_NC_045512.2/2022	2022-12-13		2.96	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202250	29.00	OQ225114	Homo sapiens	Intermountain Healthcare, Infectious Diseases Epidemiology Laboratory	Coombs et al			0.664	0.631	
USA/WA-CDC-LC0945193/2022	2022-11-20		3.12	North America	Washington	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202247	31.00	OP992103	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/NMDOH-2023005647/2023	2023-01-05		3.12	North America	New Mexico	3-7 days ago	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5	0.00	202301	30.00	OQ571869	Homo sapiens	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Benoit et al		New Mexico Department of Health Scientific Laboratory	0.775	0.831	
USA/0-27827-5/2022	2022-12-22		3.10	North America	Tennessee	One month ago	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202251	31.00	OQ448823	Homo sapiens	University Clinical Health, UTMG Pathology LLC	Kumaravelu et al			0.775	0.831	
USA/WI-CDC-LC0999343/2023	2023-01-23		3.11	North America	Wisconsin	One month ago	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5	0.00	202304	30.00	OQ403478	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	-5.44
USA/ID-CDC-LC0939855/2022	2022-11-16		3.12	North America	Idaho	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202246	30.00	OP926216	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/WI-CDC-LC0985327/2022	2022-12-29		3.12	North America	Wisconsin	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202252	31.00	OQ257777	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/IL-CDC-QDX44587735/2022	2022-12-12		3.11	North America	Illinois	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202250	30.00	OQ156794	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/USA_UT-IDEL-2022111031_2022_MN908947.3/2022	2022-11-05		3.08	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202244	29.00	OP879375	Homo sapiens	Intermountain Healthcare, Infectious Diseases Epidemiology Laboratory	Coombs et al			0.68	0.831	
USA/VA-CDC-QDX43725752/2022	2022-11-15		3.11	North America	Virginia	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202246	31.00	OP944906	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/PA-CDC-LC0952477/2022	2022-12-02		3.12	North America	Pennsylvania	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202248	30.00	OQ072196	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/KS-CDC-2-6706330/2022	2022-12-08		3.12	North America	Kansas	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202249	31.00	OQ318809	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		KS Health and Environmental Laboratories	0.775	0.831	
USA/VI-CDC-2-6769208/2023	2023-01-10		3.11	North America	Virgin Islands	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5	0.00	202302	30.00	OQ362531	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health	0.775	0.831	-5.44
USA/NE-CDC-LC0933045/2022	2022-11-08		3.11	North America	Nebraska	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202245	30.00	OP875830	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/IN-CDC-STM-WTZB5PBHQ/2022	2022-11-16		3.11	North America	Indiana	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202246	30.00	OP912290	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/WA-UW-23020385611/2023	2023-02-03		3.07	North America	Washington	One month ago	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5	0.00	202305	30.00	OQ504055	Homo sapiens	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al			0.775	0.831	-5.44
USA/UT-CDC-QDX45434214/2023	2023-01-09		3.11	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5	0.00	202302	30.00	OQ342335	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	-5.44
USA/TN-CDC-LC0946921/2022	2022-11-29		3.11	North America	Tennessee	Older	USA	22E (Omicron)	BQ.1.1.5	BQ.1.1	BQ.1.1.5		202248	30.00	OP993771	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/WV-CDC-LC0982448/2022	2022-12-28		3.11	North America	West Virginia	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202252	30.00	OQ257731	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/FL-CDC-QDX45593303/2023	2023-01-12		3.11	North America	Florida	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1	0.00	202302	31.00	OQ369184	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	-4.91
USA/IL-CDC-QDX45278550/2023	2023-01-03		3.11	North America	Illinois	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1	0.00	202301	32.00	OQ298566	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/ME-HETL-J17593/2022	2022-12-03		3.18	North America	Maine	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202248	31.00	OQ138411	Homo sapiens	The Jackson Laboratory, Tewhey Lab	Dewey et al			0.775	0.831	
USA/NY-CDC-QDX44244810/2022	2022-11-29		3.12	North America	New York	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202248	31.00	OQ085285	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/ME-HETL-J18094/2023	2023-01-03		3.16	North America	Maine	3-7 days ago	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7	0.00	202301	30.00	OQ573362	Homo sapiens	The Jackson Laboratory, Tewhey Lab	Dewey et al			0.775	0.831	
USA/OR-CDC-LC0985617/2022	2022-12-29		3.12	North America	Oregon	Older	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7		202252	30.00	OQ257743	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	
USA/UT-CDC-QDX43024557/2022	2022-10-28		3.12	North America	Utah	Older	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7		202243	30.00	OP813931	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/OR-S22609/2022	2022-12-19		3.12	North America	Oregon	Older	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7		202251	30.00	OQ232483	Homo sapiens	Seattle Flu Study submission group, The Brotman Baty Institute for Precision Medicine	Frazar et al		Seattle Flu Study	0.775	0.831	
USA/HI-CDC-QDX45038139/2022	2022-12-23		3.12	North America	Hawaii	Older	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7		202251	30.00	OQ264809	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.775	0.831	
USA/AK-CDC-LC0998959/2023	2023-01-23		3.12	North America	Alaska	One month ago	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7	0.00	202304	31.00	OQ403530	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.655	0.84	-4.64
USA/AK-CDC-LC1004686/2023	2023-01-26		3.12	North America	Alaska	One month ago	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7	0.00	202304	30.00	OQ431906	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.775	0.831	-4.64
USA/OR-S22568/2022	2022-11-28		3.12	North America	Oregon	Older	USA	22E (Omicron)	BQ.1.1.7	BQ.1.1	BQ.1.1.7		202248	30.00	OQ232448	Homo sapiens	Seattle Flu Study submission group, The Brotman Baty Institute for Precision Medicine	Frazar et al		Seattle Flu Study	0.775	0.831	
USA/TN-SPHL-4111/2022	2022-11-09		3.17	North America	Tennessee	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202245	30.00	OQ065717	Homo sapiens	FDA CVM NARMS - Tennesse DOH, Nashville Central and Knoxville Regional Labs	Selinsky et al		Tennessee Department of Health Laboratory Services	0.775	0.831	
USA/IN-CDC-STM-VVMVTH4HQ/2022	2022-10-30		3.13	North America	Indiana	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202244	30.00	OP816060	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.685	0.831	
USA/MN-CDC-STM-NH4BNF4ZC/2022	2022-12-12		3.19	North America	Minnesota	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.22		202250	30.00	OQ131713	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.775	0.831	
USA/2224908/2023	2023-01-02		3.16	North America	Iowa	Older	USA	22E (Omicron)	BQ.1.1	BQ.1.1	BQ.1.1		202301	30.00	OQ338283	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.775	0.831	
